trend,macd,turn,vol,n,ret_5d,ret_10d,ret_20d,win_rate_20d
多头排列,死叉,low,shrink_up,11,0.73,1.92,0.2,54.5
多头排列,金叉,normal,normal,27,-0.79,-0.01,0.17,48.1
弱势多头,空头,low,normal,533,0.04,0.18,0.16,47.1
多头排列,中性,low,shrink_down,227,0.67,0.48,0.15,45.4
多头排列,死叉,normal,shrink_down,34,1.91,2.05,0.12,44.1
多头排列,中性,high,shrink_up,22,0.55,4.56,0.09,54.5
强势多头,多头,high,shrink_up,18,-0.69,0.85,0.05,50.0
弱势多头,空头,normal,shrink_up,60,0.63,0.33,0.04,63.3
强势多头,中性,high,normal,144,0.12,0.68,0.03,45.8
强势多头,死叉,normal,normal,120,0.19,-0.51,-0.01,42.5
弱势多头,空头,very_low,normal,115,0.17,0.36,-0.09,43.5
弱势多头,中性,normal,shrink_up,108,1.59,0.7,-0.1,41.7
弱势多头,中性,high,heavy_up,74,-0.08,-0.62,-0.15,40.5
弱势多头,中性,low,shrink_down,204,0.41,0.46,-0.16,44.6
多头排列,空头,high,normal,50,-0.21,-1.07,-0.19,44.0
多头排列,多头,low,shrink_up,66,0.08,0.92,-0.23,48.5
多头排列,中性,normal,shrink_down,249,1.06,1.81,-0.28,42.2
强势多头,中性,low,shrink_down,28,-1.18,-2.06,-0.36,39.3
强势多头,中性,normal,normal,241,-0.35,-0.58,-0.37,44.0
多头排列,空头,very_low,shrink_down,46,1.23,0.48,-0.41,39.1
弱势多头,空头,low,shrink_up,154,-0.21,-0.17,-0.43,44.8
多头排列,多头,low,shrink_down,69,0.32,-0.74,-0.51,37.7
强势多头,零轴上金叉,normal,normal,41,-0.42,-0.38,-0.52,41.5
多头排列,中性,low,shrink_up,179,-0.13,-0.19,-0.59,43.0
多头排列,零轴上金叉,normal,normal,55,0.27,-0.99,-0.61,47.3
多头排列,空头,low,normal,89,0.01,-0.22,-0.63,48.3
弱势多头,空头,very_low,shrink_down,293,-0.23,-0.33,-0.66,39.9
弱势多头,空头,high,heavy_down,22,0.55,1.18,-0.7,45.5
强势多头,多头,high,heavy_down,34,0.17,-0.86,-0.72,35.3
多头排列,多头,very_low,normal,39,0.11,-0.37,-0.72,35.9
强势多头,死叉,low,shrink_down,16,0.68,-0.32,-0.77,50.0
多头排列,零轴上金叉,very_high,normal,19,-0.25,-0.97,-0.88,42.1
强势多头,多头,low,shrink_up,82,-0.33,0.26,-0.9,48.8
强势多头,中性,very_low,shrink_down,30,-0.73,-0.49,-0.92,56.7
强势多头,中性,normal,shrink_up,59,1.26,1.79,-0.93,35.6
弱势多头,多头,high,heavy_up,10,-0.02,-0.12,-0.97,40.0
强势空头,死叉,very_high,heavy_down,22,0.21,-0.65,-1.05,36.4
多头排列,中性,very_low,shrink_down,194,-0.17,-0.68,-1.07,39.2
多头排列,空头,very_high,heavy_down,13,-0.32,-2.83,-1.1,53.8
强势多头,多头,very_low,normal,59,-0.1,-1.11,-1.14,42.4
多头排列,金叉,high,normal,12,-1.16,-0.83,-1.15,50.0
强势多头,零轴上金叉,low,normal,17,-0.61,0.4,-1.16,35.3
弱势多头,空头,low,shrink_down,161,0.22,-0.1,-1.2,36.6
弱势多头,死叉,normal,normal,90,-0.08,-0.5,-1.25,43.3
强势多头,多头,normal,shrink_down,120,0.0,-0.14,-1.27,33.3
强势空头,空头,normal,shrink_down,64,-0.4,-0.69,-1.32,34.4
强势空头,中性,normal,shrink_up,12,-1.06,-1.08,-1.59,41.7
多头排列,中性,high,shrink_down,18,0.2,1.78,-1.6,33.3
多头排列,多头,normal,shrink_down,49,-0.06,-0.64,-1.73,30.6
多头排列,零轴上金叉,low,normal,17,0.68,-0.63,-1.97,52.9
多头排列,空头,normal,shrink_up,13,-1.39,-0.66,-2.02,46.2
强势多头,中性,low,normal,73,-0.7,-0.85,-2.07,43.8
弱势多头,死叉,very_low,normal,17,-0.96,-1.23,-2.29,29.4
强势空头,空头,normal,shrink_up,32,-0.82,-1.6,-2.47,43.8
强势空头,金叉,high,heavy_up,13,0.57,-2.55,-2.48,30.8
弱势多头,金叉,high,heavy_up,12,-1.28,-3.73,-2.7,33.3
多头排列,空头,low,shrink_up,24,0.01,-0.75,-2.9,37.5
多头排列,多头,high,heavy_down,27,-0.15,-0.71,-2.94,40.7
多头排列,空头,low,shrink_down,36,0.16,-1.22,-2.96,36.1
强势多头,中性,very_low,shrink_up,11,-0.08,0.64,-3.13,36.4
强势多头,死叉,low,normal,34,-0.76,-1.3,-3.26,26.5
弱势多头,死叉,very_low,shrink_up,13,0.59,-1.6,-3.38,23.1
弱势多头,中性,high,shrink_down,13,0.25,-1.2,-3.89,23.1
强势多头,中性,low,shrink_up,25,-0.07,-1.48,-4.22,44.0
